ia_circular	ia-premium-financing-circular-20260820	保监局发通函：保费融资上半年占新造业务保费约36% 要求险企检讨产品与风控
fwd	fwd-top-insurer-award-202606	富卫膺「领先年度保险公司」：彭博商业周刊 22 项大奖，连续 9 年获奖最多
manulife	ia-20260625-manulife-convention	宏利2026年度大会在香港举行：聚焦退休未来与AI驱动转型。
empf	empf-2026-fee-reduction	积金易平台降费：236只基金行政费降至0.37% 惠及千万账户。
manulife	manulife-20260625-board	宏利委任吴立贤为独立非执行董事。
fwd	fwd-infertility-first-2026	富卫「危疾应援保」首创不孕症保障：香港首间覆盖生育治疗的保司
rga	ia-20260624-rga-trends	RGA发布2026年Q2产品趋势报告：AIA财富灵活储蓄保、AXA私人平台被列为重点新品。
censtatd	censtatd-intermediary-table-202606	官方统计表：获授权保险人、持牌经纪及代理人数目（2026-06-22 更新）
insuranceasia	picc-evtol-2026	全国首单超轻型 eVTOL 跨境保险落地：深圳承保、香港出单
yahoofinance	ia-20260620-goldman-outlook	高盛重申2026年美股乐观展望：盈利增长驱动，保险金融板块受益。
fwd	fwd-2026-brand-victoria	富卫香港2026品牌升级：维港双岸招牌同时亮灯。
henley	henley-wealth-migration-2026	Henley 2026 私人财富迁移报告：香港重回全球高净值流入 Top 5
insurancebusinessmag	ia-ai-cohort-202606	保监局AI促进计划再扩容：新增宏利等三家保司。
insuranceasia	icac-3regulators-raid-202606	廉署×会财局×证监会首次三方联合行动：搜查 16 处所拘捕 3 人
blackrock	ia-20260618-blackrock-outlook	贝莱德2026年中全球投资展望：呼吁投资组合重思，关注保险板块的稳定器角色。
insurancebusinessmag	ia-20260617-manulife-ai	宏利香港加入保监局AI促进计划：AI已覆盖核保、分销与客服三线。
prudential	ia-20260616-aia-prudential-roles	友邦及保诚在港增设高净值客户高级职位，抢占亚洲财富管理市场。
bloomberg	ia-20260616-cheung-enforcement	保监CEO张云正公开警告：行业规避新报酬规则的跨境架构将被适时介入。
ia	ia-ai-seminar-20260615	保监局举办「人工智能促进计划」研讨会，新增强点参与保司。
axa	axa-2026-bloomberg-awards	AXA安盛于《彭博商业周刊》「金融机构2026」获七项殊荣。
Bain & Company	bain-gba-crossborder-2026	Bain 大湾区报告：跨境保险续保/理赔/查询是核心需求
insurancebusinessmag	ia-ai-cohort-10-members	保监局 AI Cohort 扩展至 10 家：中银人寿、国寿海外、宏利国际加入
aia	aia-total-cash-value-2025	友邦 2026 年 6 月更新：2025 年总现金价值比率公布
ia	ia-ai-cohort-10-202606	AI 促进计划重点参与者增至 10 间：保监局举办研讨会
bloomberg	ia-20260615-bloomberg-crackdown	Bloomberg：香港保险监管机构誓言打击违规者 — 跨境架构规避新规被点名警告。
hk	hk-20260612-fo-tax	港府2026年优化家族办公室税制：扩大免税范围至数字资产。
govhk	fo-tax-amendment-202606	家办税务优惠修订草案：数字资产/贵金属/私募债权纳入合资格投资
aia	aia-wealth-generation-2025	友邦推 Wealth Generation：专为高净值客，4 年预期回本 + 首创传承选项
manulife	ia-20260610-manulife-leverage	宏利香港据报暂停杠杆融资保单产品：监管关注与产品合规调整。
ctf-life	ia-20260610-chowtaifook-life	周大福人寿品牌升级：CTFS半年报金融板块AOP同比增19%。
ctflife	ctflife-2026-diamond-iul	周大福人寿推出全港首只法国巴黎银行指数挂钩IUL计划「钻裕」
fitch	ia-20260609-fitch-apac	惠誉：亚太保险展望维持「中性」，监管与市场压力并存。
fortune	ia-20260608-axa-global-private	AXA安盛推出「AXA Global Private」高净值统一平台，落户香港及百慕达。
aia	aia-20260608-prosperlife	友邦推出「财富盈活储蓄保险计划」瞄准高净值家庭传承。
aia	ia-20260608-aia-wealth-flexi	友邦推出「 Wealth Flexi 灵活储蓄保」：首创未来心愿安排服务高净值家庭传承。
axa	axa-global-private-202606	AXA 推 Global Private 专攻高净值客：入场门槛 1000 万起，港澳为双枢纽
hkma	ia-20260605-hkma-remuneration-circ	金管局发布银行保险中介分红报酬结构通函（平行通函）。
ia	ia-hkma-remuneration-20260605	保监局提请业界注意：金管局关于银行保险中介分红报酬结构通函。
insuranceasia	ia-20260605-hkma-commission	金管局就银行保险中介佣金分摊发出通函。
asiainsurancereview	ia-20260611-chubb-life	安达人寿香港增强旗舰储蓄计划：新增3年缴付选项。
ia	ia-20260603-broker-referral	保监局对两间经纪公司施加续牌条件：暂停接收转介客户。
hkma	ia-20260602-hkma-crossborder	金管局举办银保跨境业务简报会：促进银行与保险业界合作。
deloitte	deloitte-2026-insurance-outlook	德勤2026全球保险展望：AI落地加速 香港保监局推AI促进计划。
chubb	chubb-20260601-mylegacy	Chubb Life香港增强旗舰产品MyLegacy V——缩短回本期。
hkma	hkma-wealthconnect-2026	跨境理财通2.0：南向通个人额度300万，产品扩至中高风险
axa	axa-aishouwei-upgrade-2026	安盛「爱唯守」危疾升级：138 种病症，总保障高达保额 1300%
ia	ia-20260529-onsite-findings	保司现场操守巡查常见问题与最佳实务（2026-05-29）。
allianz	allianz-20260528-global-report	安联全球保险报告2026：全球保费+7.1%至6.9万亿欧元 亚洲领跑。
bcg	bcg-hk-1-cross-border-wealth-20260527	BCG 2026报告：香港超越瑞士成为全球最大跨境财富管理中心
ia	ia-ci-definitions-16-2026	危疾定义标准化 16 项逐条拆解：心肌病/末期肝病等定义 9 月起收紧
ia	ia-public-disclosure-rules-202605	《保险业（公众披露）规则》5/22 生效：RBC 第三支柱落地
ia	ia-rbc-amend-20261231	RBC 优化修订 12/31 生效：基建投资优惠 + 加密资产压力因子
ia	ia-public-disclosure-transition-2026	公众披露过渡安排：保险公司须 8/31 前披露 2024 财年量化资料
govhk	ia-20260520-gl34-corp	立法会审议《保险业(公众披露)规则》附属法例。
fwd	fwd-2026-q1-update	富卫集团2026年Q1新业务强劲：年化新保费+4%至7.2亿美元。
ia	ia-20260519-disclosure-consult	保监局就保险人公开披露规则咨询市场。
sunlife	sunlife-2026-10life-awards	Sun Life永明连续4年获10Life 5星保险大奖。
ia	ia-20260513-cross-ref	银行与保险跨行业背景查核安排通函发布。
ia	ia-20260513-cross-refcheck	银行与保险跨行业背景查核安排通函（2026-05-13）。
prudential	pru-2025-claims-report	保诚 2025 理赔报告：70 亿赔付/96.6% 成功率，癌症占危疾 62%
sunlife	sunlife-galaxy2-fr-2026	永明 2026 分红数据：万年青系列连续 2 年 100%，部分红利上调 5-8%
ia	ia-20260508-rbc-conclusion	保监局公布RBC制度优化咨询结论：鼓励基建投资、巩固风险管理中心。
ia	ia-20260508-rbc-conclusions	RBC 制度优化咨询结论发布：鼓励基建投资、巩固风险管理中心（2026-05-08）。
fwd	fwd-2025-hk-premium-59-202605	富卫香港 2025 新业务首年保费 +59%：分红保险居全港第三
cpic	cpic-20260504-gen3	太保寿险香港推出「世代悦享3」储蓄保险计划——35周年献礼。
aia	aia-20260430-q1-vonb	AIA 2026年Q1新业务价值增长13% 香港表现强劲。
prudential	prudential-20260429-self-future	保诚推出「自主未来」保险计划II 产品发布会。
boclife	boclife-20260427-retirement	中银人寿联乘中银香港推出「退优·新活」综合养老方案。
hkinsu	ia-2025-full-year	保监局公布2025全年业绩：个人新单保费3309亿港元 +50.6%再创新高。
ia	ia-20260424-stats-2025	保监局公布2025年临时统计（2026-04-24）。
yahoofinance	aia-20260424-top-insurer	AIA连续获评为香港首选保险公司。
sunlife	sunlife-ape-118-2025	永明 2025 全年新造业务 APE 118 亿 +46%：跻身首五大非银行保司
boclife	boclife-2025-record-258	中银人寿 2025 新造标准保费 258.62 亿 +50% 创历史新高
ia	ia-2025-fullyear-stats-8270	2025 全年临时统计：毛保费 8,270 亿 +29.7%，新造保费 3,309 亿 +50.6%
ctflife	ctflife-20260422-artisan-leap	周大福人寿推出「匠心·飞越」储蓄保险计划。
ia	ia-20260422-ils	2026保险相连证券（ILS）研讨会：主席开幕辞（2026-04-22）。
govhk	legco-20260422-fo-industry	立法会：香港家办两年增约 680 间，资产管理规模超 1.1 万亿港元
fsdc	hkacademy-impact-link-202604	香港财富传承学院扩展 Impact Link 平台：引导家办资本投入策略性慈善
manulife	manulife-20260420-annuity-accident	宏利推出全新年金及意外保险：宏瑞终身即期年金+相伴无忧个人意外。
manulife	manulife-mpf-fee-cut-202604	宏利再降强积金费用：29 只基金减幅 5-12%，逾 200 万成员受惠
ia	ia-20260416-cyber	APAC 网络风险与保险峰会简报（2026-04-16）。
prudential	pru-fosun-gba-hospitals-202604	保诚与复星健康深化合作：大湾区医院全数纳入保诚医疗网络
ubs	swiss-private-bank-benchmark-2026	瑞士私行格局：3.9 万亿美元 AUM，CRS 后从「保密」转向「资产裁判」
fsdc	ia-202604-fsi-survey	金发局发表报告：巩固香港作为全球重要保险枢纽的地位。
chubb	chubb-claims-2025-report	安达人寿香港 2025 理赔报告：索偿批准率 98%，危疾理赔 1.86 亿港元
chinlife	chinlife-2026-hk-digital	中国人寿海外2026年加速数字化转型：线上理赔+智能客服。
govhk	legco-20260410-fa-disclosure	立法会财经事务委员会讨论保险公开披露立法建议。
ia	ia-20260409-captive-beijing	保监局于北京举办专属自保论坛（2026-04-09）。
ctflife	ctflife-fr-disclosure-2026	周大福人寿公布分红实现率：按 2025 年度终止保单计算
sunlife	sunlife-sungift-global-ii-202604	永明「万年青·星河」系列 II 升级：9 种货币 + 1% 最高保证回报
boclife	boclife-fr-disclosure-2026	中银人寿官网披露分红实现率：终期红利比率分产品系列公布
ia	ia-20260331-gn16-revised	保监局修订GN16指引：2026年3月31日正式生效。
ia	ia-20260331-cpd-reporting	CPD合规汇报安排：2025/26及后续评核期（2026-03-31）。
fwd	fwd-wealth2-upgrade-202603	富卫「盈聚天下 2」升级：8 币种 + 新生婴儿奖励 + 人生大事奖赏
ia	ia-2025-complaints	保监局2025年投诉统计：全年接获1173宗 同比+19.9%。
ia	ia-complaints-2025-down35	保监局《监管通讯》第 12 期：2025 投诉宗数 1,173 宗，同比 -35%
ia	ia-20260327-cif12	《监管通讯》第12期（2026-03）：投诉、社媒推广与合规专题。
ia	ia-20260326-health-conf	亚太医疗与健康保险会议主题演讲（2026-03-26）。
cntaiping	cntaiping-2025-profit-270	中国太平 2025 股东应占溢利 270.59 亿 +220.9%：总资产破 1.9 万亿
china-life	chinainsurance-2025-profit-1540	中国人寿 2025 净利 1540.78 亿 +44.1%：总保费首破 7000 亿
ia	ia-20260325-captive-forum-speech	2026专属自保保险座谈会开幕致辞（2026-03-25）。
china-life	chinalife-2025-profit	中国人寿 2025 全年净利 1,566 亿元 +43%：母集团营收破 1.28 万亿
chubb	chubb-2026-dementia	Chubb Life香港推出创新「Side by Side」认知障碍症保险计划。
chubb	chubb-50th-2026	Chubb 安达人寿香港庆祝 50 周年：2025 全年集团净利 103 亿美元
aof-hkimr	aof-hkimr-family-office-202603	香港金融学院报告：家族办公室生态 · 慈善 + 影响力投资 + 风险管理
aia	aia-2025-annual-results	AIA 2025年全年业绩创新高：香港VONB+28% 每股股息+10%。
hsbc	hsbc-life-2026-hnw-pitchbook	汇丰保险发布2026高净值财富传承规划报告。
prudential	prudential-20260317-youth	保诚推出「动感守护宝」专为18-30岁年轻一代设计。
sunlife	sunlife-202603-sp-upgrade	标普上调Sun Life永明香港评级至AA 展望稳定。
insuranceasia	hkma-ia-2026-genai-sandbox	香港金融监管联合推出GenAI Sandbox++：用AI监管AI风险。
manulife	manulife-202603-new-products	宏利香港推出两款新分红人寿保险储蓄计划。
ia	ia-20260310-rbc-consult-close	保监局RBC制度修订咨询截止：3月10日公众意见提交结束。
sunlife	sunlife-fr-2026-134	永明公布 134 个分红数据：平均实现率 90%，长期保单 84%
hkma	hkma-fo-philanthropy-202603	金管局报告：家办增长强劲，慈善与影响力投资成新方向
prudential	pru-cto-greater-china-202603	保诚委任黄庆泰领导大中华区科技策略
ia	hk-marine-war-pool-2026	香港航运战争险风险池：7 个月覆盖约 1,000 艘船，承保能力 1.3 亿美元
ia	ia-20260305-genai-sandbox	监管机构推出 GenA.I. 沙盒++ 覆盖保险等多元金融领域（2026-03-05）。
ia	genai-sandbox-pp-202603	GenA.I. 沙盒++：四大监管联手覆盖保险/强积金等六大金融板块
cpic	cpic-xinan-2026	太保寿险香港「鑫安逸」：30 年保证复利 3.5%，双币种储蓄险稀缺卖点
ia	ia-3brokers-aml-429k-202603	三间经纪公司违反反洗钱规定被谴责：合计罚款 42.9 万港元
govhk	newcies-2026-3200apps-95b	新CIES 两周年：3,200宗申请，预计吸引投资 950 亿港元
govhk	cies-fhvt-20260301	新 CIES 优化措施 2026-03-01 生效：全资公司持有投资 + 家控工具税务宽减
ia	ils-grant-scheme-2028-2026	保险相连证券资助计划延长至 2028：巨灾债券最高补贴 700 万港元
generali	generali-10life-5star-2026	忠意人寿（香港）7 款产品获 10Life 5 星：年金/储蓄/危疾/终身保障全覆盖
ia	ia-budget-20260225	保监局欢迎2026-27财政预算案中与国家规划对接的措施。
ia	ia-20260224-kpim-handbook	保险人中介管理关键人员（KPIM）手册发布（2026-02-24）。
prudential	prudential-bonus-mechanism-2026	保诚公布分红机制：保单持有人公平分享基金盈利，红利分配有准则
yahoofinance	sunlife-2025-ape-118	Sun Life永明2025年APE突破118亿港元创新高。
ia	ia-20260213-low-altitude	保险创新助力低空经济发展（2026-02-13）。
ia	ia-20260211-rbc-consult	完善风险为本资本制度公众咨询启动（2026-02-11）。
ia	ia-20260211-rbc-consult-launch	保监局就RBC资本规则修订启动公众咨询。
govhk	fstb-20260210-fo-3384	香港家族办公室达3384间 两年增25% 过半财富超5100万美元。
govhk	hk-2026-newcies-3000	新资本投资者入境计划收逾3000宗申请 预计带来900亿投资。
dlapiper	dlapiper-202602-gl16	DLA Piper法律解读：保监局修订GL16——产品治理、销售与薪酬全面升级。
govhk	fstb-family-office-boom-20260210	FSTB：家办热潮推动香港经济——CIES 预计吸资逾 900 亿港元
govhk	fo-3380-economy-202602	香港单一家办超 3,380 家：每年贡献经济 126 亿港元、就业超 1 万人
ia	ia-20260206-gl16-gl34	修订 GL16 与 GL34：长期承保与分红基金管理（2026-02-06）。
circ	circ-20260201-crossborder	金融监管总局回复跨境保险通提案：与现行《保险法》冲突。
hangseng	hangseng-lifebetter-ci-2026	恒生保险「爱·生活」危疾：132 种疾病保障，癌症/心脏病/中风多重赔偿
ia	ia-20260126-aff	亚洲金融论坛2026：保监局开场发言（2026-01-26）。
yahoofinance	axa-20260126-redomicile	AXA安盛成功由百慕达迁册至香港。
ia	ia-20260123-stats-3q2025	2025年前三季临时统计：长期新造约2645亿，同比约+55.9%（2026-01-23）。
ia	ia-20260123-q3stats	保监局公布2025年前三季临时统计：新造保费2644亿港元同比+55.9%。
evident	evident-2026-insurance-ai	Evident报告：68%保险AI部署已转向生成式/代理式AI。
dlapiper	ia-gl34-20260331	修订 GL34 分红业务基金管理：主体2026-03-31 生效，公司政策段2026-06-30。
hkma	hkma-taxonomy-2a-202601	金管局发布香港绿色分类法 2A 阶段：扩展行业覆盖 + 转型元素
ia	ia-marine-aff-2026	保监局：国际保赔集团 12 家中 10 家落户香港，海事保费 62 亿
ebact	ebact-2025-hk-market	香港一般保险市场分析：2025年9亿→2029年09亿 CAGR 5.1%。
fubon	fubon-hk-2025	富邦人寿香港：母企 2025 全年净利 625 亿新台币
mof-sta	sztax-gba-202601	深圳 2026 年大湾区个税优惠：境外人才超 15% 税率部分可申请财政补贴
taiping	taiping-yinianlexiang3-2026	太平人寿香港「颐年乐享3」升级：候鸟式旅居养老+分红实现率连续 9 年达标
aia	aia-2025-annual-vonb-202603	友邦 2025 全年业绩：香港 VONB +28% 创纪录，每股股息 +10%
ctflife	ctflife-fy2025-nbv	周大福人寿 2025 财年新业务价值 10.03 亿港元，NBV 利润率升至 32%
zhihu	zhihu-2025-top10	知乎盘点2025香港保险十大事件：演示上限/佣金分摊/IUL/跨境打擊。
fwd	fwd-hk-2025-nbp-93pct	富卫香港 2025 新业务保费飙升 93%：年化新保费 +74% 远超市场均值
ia	ia-wangfuk-fire-claims-202512	宏福苑火灾保险赔付逾 2.57 亿：36 间公司 10,660 张人寿保单
boclife	boclife-2025-record	中银人寿 2025 全年新造标准保费 258 亿港元，按年跃升近 5 成创新高
jpmorgan	jpmorgan-2026-outlook	摩根大通2026展望：看好全球权益+双位数增长 黄金目标价$5000。
ia	aif-2025-asian-insurance-forum	亚洲保险论坛 2025：迎难而上 拥抱创新
ia	ia-2024-annual-stats	保监局发布2024年香港保险业年报：毛保费6352亿 全球渗透率第一。
prudential	prudential-wangfuk-relief-202511	保诚捐 2,000 万港元援助大埔宏福苑火灾及受影响客户
aia	aia-20251121-aisan	AIA推出全新「爱伴航」危疾保障系列产品。
goldmansachs	goldman-2026-macro-outlook	高盛2026宏观展望：全球GDP 2.8% 牛市扩散 科技主导。
ia	ia-20251120-refcheck-scheme	保险中介人背景查核计划通函（2025-11-20）。
sfc	sfc-2025-wmc-insurance	证监会探讨保险产品纳入跨境理财通南向通。
yflife	yflife-furao-wanjia-2025	万通推「富饶万家」接棒停售的富饶千秋：6.5% 上限+13 年保证回本
manulife	manulife-q3-2025-hk	宏利香港及澳门 2025 Q3：新业务价值 +10% 至 20 亿港元
hsbc	hsbc-insurance-h1-2025	汇丰保险 2025 上半年新承保保费 +34%：香港为增长主力
ia	ia-20251024-1h2025-stats	2025上半年临时统计：长期新造约1737亿港元，同比约+50%。
ia	ia-20251024-h1stats	保监局公布2025年上半年临时统计：毛保费4234亿，新造保费1737亿。
ia	ia-2025-annual-report	保监局发表 2024-25 年报：CPD 合规率 99.9%、执法罚款 2,367 万港元
ia	ia-dsii-20251017	保监局公布首批 D-SII 名单：友邦、保诚入选「大而不能倒」
ia	ia-ro-cpd-20251014	负责人（RO）强制 CPD：2025/26 评估期首轮安排（2025-10-14 通函）。
aia	aia-cancer-under40-2025	友邦：约 1/4 癌症理赔个案受保人 40 岁以下，癌症年轻化警号
hkma	ia-202508-iul-sandbox	保监局批准IUL产品沙盒申请：视频会议销售纳入监管框架。
ia	ia-20250919-product-naming	保险产品命名要求联合通函（2025-09-19）。
govhk	hkfo-200-target-hit-2025	家办落户目标提前达标：逾 200 间家办在港设立或扩展业务
hkma	ia-20250917-product-naming	保监局与金管局联合发布保险产品命名要求通函。
hkfi	ia-2025-hkfi-monthly-brief	香港保联 2025 年 9 月产品简报：多款新产品聚焦健康与退休
ctflife	ctflife-artisan-heritage2-2025	周大福人寿推出「匠心·传承」储蓄寿险计划2 瞄准传承需求
govhk	fstb-fo-guide-202509	《家族办公室指南》发布暨「香港家办汇」一周年：落户路线图成型
manulife	manulife-20250902-hospitals	宏利医疗网络扩展至内地38000+间医院。
ia	ia-32-disciplinary-2025	保监局 2025 年已采取 32 项纪律行动：执法进入高频常态
ia	ia-taihe-related-10m-202509	保监局谴责泰禾人寿并罚款 1,000 万：未获批关联交易
ia	ia-20250901-referral50	保监局就转介费监管期望发出通函：50%基准 10月1日起遵从。
ia	ia-20250901-referral-fee	分红保单转介费监管期望：50%基准（2025-09-01，10-01起遵从）。
ia	ia-2024-25-annual-report	保监局2024-25年报：监管157家保司+11.8万中介 罚款2300万。
cpic	cpic-incremental-whole-life-2025	太保寿险香港推出「世代鑫享」增额终身寿险：内地热卖产品引入香港
govhk	captive-insurers-6-202508	香港专属自保公司增至 6 间：2025 年新增 2 间
ia	ia-ai-cohort-launch-202508	保监局推出「人工智能促进计划」：首批保司参与，AI 承诺落地
dlapiper	dlapiper-202508-commission	DLA Piper解读：保监局佣金分摊实务说明——2026年1月1日起实施。
ia	ia-commission-20260101	分红保单佣金分摊：2026-01-01 起首年不超过总额70%，其余至少分5年。
ia	ia-20250808-rbc-disclosure	风险为本资本制度首个财政年度公众披露要求（2025-08-08）。
fwd	fwd-iul-20250806	富卫香港推出面向专业投资者的指数型万用寿险(IUL)计划
nfra	nfra-pricing-mechanism-2025	NFRA 建立人身保险预定利率动态调整机制：传统型 2.0%、分红型 1.75%
ia	gl24-cpd-2025	GL24 CPD 要求：持牌中介人每评估期 15 小时，RO 另加 2 小时管治培训
ia	ia-commission-spread-note-20250730	保监局佣金结构应用说明：分红险首年佣金 ≤70%，余额至少分 5 年
manulife	manulife-bupa-mou-2025	宏利与保柏（Bupa）签订合作备忘录：香港医疗险策略合作
insuranceasia	h1-2025-record-99b-202507	2025 上半年港险新单保费创纪录 990 亿港元 +39%：MCV 双引擎
manulife	manulife-redomiciliation-done-2025	宏利人寿（国际）完成迁册至香港：首家完成迁册的保险公司
ia	ia-202507-commission-spread	保监局发布分红保单佣金分摊指引：2026年1月1日起实施。
ia	ia-20250711-ro-cpd-compulsory	经纪公司负责人强制RO-CPD自2025-08-01生效（2025-07-11）。
aia	aia-20250708-global-prosper	AIA推出「环宇盈活储蓄保险计划」
ia	ia-20250701-illustration-cap	分红保单演示利率上限正式生效：非港元6.5%/港元6.0%。
10life	par-fulfillment-2025-10life	2025 分红实现率对比：友邦终期红利 102% vs 保诚 78%，分化明显
aia	aia-cancer-young-2025	友邦理赔数据：癌症理赔居首且趋年轻化
hkma	crossborder-payment-link-202506	跨境支付通上线：内地居民可经人民币通道汇款至香港
ia	ia-green-bond-rbc-202506	保监局确立绿色债券认定标准：RBC 下享 90% 资本乘数优惠
sunlife	sunlife-2025-enhanced-savings	Sun Life永明推出升级版储蓄保险计划系列（永越多元货币II）。
ia	ia-2025q1-stats-934	2025年Q1香港长期业务新单保费934亿同比+43.1%创新高。
prudential	prudential-claims-speed-2025	保诚理赔速度提升：住院平均 2.8 个工作日，危疾/身故 4.6 个工作日
govhk	fstb-2024-density	香港保险密度0043全球第二 渗透率18.2%全球第一。
manulife	manulife-claim-2025-report	宏利 2025 理赔报告：赔付超 10.72 亿港元，癌症占危疾 76.6%，21-40 岁理赔急升 7%
insurancebusinessmag	mainland-capital-surge-2025	中资加速入场香港保险：越秀17.68亿收购香港人寿/京东更名/腾讯FuSure获批长险牌照
scmp	people-hk-selling-202505	「赴港卖险」现象观察：内地代理人大举南下，监管双向开放推进
govhk	redomiciliation-2025-act	迁册制度条例 2025 年 5 月生效：宏利成首家迁册回港保险公司
fwd	fwd-q1-2025-csm	富卫 2025 Q1 新业务合约服务边际 +55%：港澳市场双位数增长
manulife	manulife-q1-2025-results	宏利 2025 Q1 业绩：APE +37%、新业务价值 +36%、新业务 CSM +31%
aia	aia-q1-2025-vonb	友邦 2025 Q1 新业务价值 +13%：香港市场 MCV 带动增长
prudential	prudential-claim-report-2025	保诚 2025 理赔报告：内地客危疾理赔最高 933 万港元，肺癌居首
aia	aia-q1-2025-vonb-13	友邦 2025 Q1：新业务价值 15 亿美元 +13%，延续增长势头
manulife	manulife-20250428-ci	宏利推出两款全新危疾计划：宏健守护+宏伴护航危疾入息保障。
manulife	manulife-ci-income-202504	宏利推「宏健守护」及「宏伴护航」危疾入息保障：涵盖121种危疾
prudential	ia-2025-d-sii-designation	保监局指定AIA及保诚亚洲为具系统重要性保险机构(D-SII)。
ia	ia-mcv-data-gap-2025	保监局停止披露内地访客新造保费细分：MCV 数据进入「盲区」
axa	axa-20250409-gba-med	AXA安盛全面升级大湾区跨境医疗专属服务网络。
ia	ia-20250330-illustration-article	保监局文章：引入演示利率上限，提升投保人保障（2025-03-30）。
fsdc	fsdc-2025-insurance-hub	金发局报告：巩固香港全球保险枢纽 2024年经济增加值1084亿。
ia	ia-2025-insurtech-initiatives	保监局2025年InsurTech蓝图：AI对保险业价值9.5-15.4万亿美元。
aia	aia-2024-annual	AIA 2024年全年业绩：香港VONB+23% 内地客+22% 创纪录。
hkma	ia-20250313-iul-circular	保监局与金管局联合发布IUL产品监管通函。
ia	ia-20250313-iul-pi	指数型万用寿险（IUL）面向专业投资者的联合通函（2025-03-13）。
nfra	nfra-202502-hkmo-insurance	金融监管总局放宽港澳金融机构入股保险公司门槛。
hkma	ia-20250228-illustration-note	保监局就分红保单演示利率上限发出实务说明：港元6%/非港元6.5%。
ia	ia-20250228-illustration-cap-pn	分红保单演示利率上限应用说明（2025-02-28）。
manulife	manulife-deloitte-hnw-202502	宏利×德勤：超三分二大中华高净值人士视保险为财富传承重要工具
manulife	manulife-heritage-plan-202502	宏利推出「宏挚家传承」及「财挚宏耀」保险计划
ia	ia-20250206-claims-mgmt	理赔管理发现与建议（2025-02-06）。
ia	manulife-ai-cohort-202501	保监局 AI Cohort Programme：宏利香港成首批核心参与保司
linkedin	linkedin-2024-trends	业界回顾2024香港保险关键趋势：RBC生效/GN16修订/跨境复苏。
nfra	nfra-cbirc-solvency2-202501	金融监管总局延长偿二代二期过渡期至 2025 年底
axa	axa-20250110-shengli	AXA安盛推出全新「盛利储蓄计划」
aia	aia-flexi-achiever-202501	友邦推 FlexiAchiever 储蓄计划：首创受益人选任 Flexi Option
ia	ia-tahoe-managers-change-202412	泰禾人寿经理团队变更：德勤何国樑、陈文海加入，2024-12-17
ia	ia-20241205-annual-2024	2024全年港险统计：总毛保费$635.2B，新造$219.8B，MCV$62.8B
ia	ia-2024-re-domiciliation	香港引入保险公司迁册（Re-domiciliation）制度
aia	aia-extreme-ultimate-medical-202411	友邦推出「极臻·至尊医疗计划」：高端医疗+养生顾问生态
ia	ia-2024-revised-gn16-consult	保监局就修订 GN16（分红实现率披露）展开咨询
ia	ia-nfra-gba-motor-202411	保监局与金融监管总局广东局达成协议：大湾区跨境车险「等效先认」
ia	ia-antis scam-charter-202411	保监局发布反诈骗警示：假冒 AIA/中银网站横行，反诈骗宪章 2.0 覆盖 230 家金融机构
ia	ia-fintech-week-202410	保监局于香港金融科技周 2024 举办「保险科技论坛」
ia	ia-policy-address-202410	保监局欢迎《2024 施政报告》：争取专属自保落户+海事保险拓展
manulife	manulife-hiv-coverage-2024	宏利香港将 HIV 阳性人士纳入个人寿险承保范围
prudential	prudential-vhis-digital-202410	保诚推出「自主医保计划」及综合数码服务平台
ia	ia-20240923-license-fee	保险中介人牌照费征缴启动：五年豁免期届满
ia	ia-2024-h1-refcheck-cross-sector	保监局与金管局联手推动跨行业背景查核（2025年7月实施）
ia	ia-20240923-refcheck	保监局参考查核计划生效：中介人背景审查启动。
ia	ia-2024h1-stats	2024上半年香港保险毛保费3109亿同比+5.1% 内地访客297亿。
nfra	statecouncil-insurance-ten-202409	国务院发布「国十条」：加强监管防范风险推动保险业高质量发展
sunlife	sunlife-2024-fwd-pension	Sun Life永明收购FWD香港养老金业务 强积金+46亿港元。
ia	ia-20240830-h1-2024-stats	2024上半年港险统计：长期业务新造保费$115.6B，内地访客$29.7B
xincai	ia-2024-crossborder	保监局与廉政公署联合打击跨境无牌销售保单。
ia	ia-aia-aml-fine-202408	友邦香港因反洗钱流程缺陷被保监局罚款 2300 万港元
nfra	nfra-rate-cut-202408	预定利率首次全面下调：传统型 2.5%、分红型 2.0%、万能型 1.5%
nfra	nfra-2024-crossborder-no	金融监管总局：现阶段跨境保险通试点时机尚不成熟。
ia	ia-taihe-bermuda-joint-202407	保监局与百慕达金管局协作监管泰禾人寿：委任联合临时清盘人
ia	ia-20240726-tahoe-life	保监局委任经理全面接管泰禾人寿——香港保险史上首次
ctflife	ctflife-20240723-rebrand	FTLife正式更名为周大福人寿(CTF Life)。
ia	ia-rbc-implement-20240701	香港保险业正式实施风险为本资本制度（RBC）：监管里程碑
govhk	ia-20240701-rbc-live	香港风险为本资本制度(RBC)正式生效。
henley	henley-migration-2024	Henley 2024 财富迁移报告：中国内地百万富翁流出量全球第一
ocorian	ocorian-hk-wealth-magnet-2024	Ocorian 报告：2024年香港跨境财富猛增 2,310 亿美元，追平瑞士
ia	ia-20240614-gl34-segregation	GL34《就分红业务设立与维持基金的指引》宪报刊登
ia	ia-20240612-unlicensed-mcv	保监局发通函：打击向内地访客无牌销售长期保单的不合规模式
ia	ia-20240531-q1-2024-stats	2024年Q1临时统计：长期业务新造保费$79.1B，同比+14.6%
